i;ABB;Siemens;Hager
6;S20xx-B6;
8;S20xx-B8
10;S20xx-B10
16;S20xx-B16
20;S20xx-B20
25;S20xx-B25
32;S20xx-B32
40;S20xx-B40
50;S20xx-B50
63;S20xx-B63
80;XT1N 100 TMD80A;3VA10N
100;XT1N 100 TMD100A;3VA10N
125;XT1N 160 TMD125A;3VA11N
160;XT1N 160 TMD160;3VA11N
200;XT3N 250 TMD200;3VA12S
250;XT3N 250 TMD250;3VA12S
400;XT5N 400 Ekip LS/I;3VA13S
630;XT5N 630 Ekip LS/I;3VA14S
800;XT6N 800 Ekip LS/I;3VA15S
1000;XT6N 1000 Ekip LS/I;3VA15S
1250;E1.2N 1250 Ekip LSIG;3VA26M
1600;E1.2N 1600 Ekip LSIG;3VA27M
2000;E2.2S 2000 Ekip LSIG;3WL52N
2500;E2.2S 2500 Ekip LSIG;3WL52N
