a1;in Elektro-Installationsrohren in wärmegedämmten Wänden
a2;in Elektro-Installationsrohren in wärmegedämmten Wänden; Mehradrig
b1;in Elektro-Installationsrohren auf einer Wand
b2;in Elektro-Installationsrohren auf einer Wand; Mehradrig
c1;direkt auf einer Wand
d1;in Erde
e1;Installationskanal
f1;auf gelochter Kabelwanne mit Berührung; Einadrig
f2;auf gelochter Kabelwanne mit Berührung; Eine Schicht; Mehradrig
f3;auf gelochter Kabelwanne mit Berührung; Mehrere Schichte; Mehradrig
g1;auf gelochter Kabelwanne ohne Berührung; Horizontal
g2;auf gelochter Kabelwanne ohne Berührung; Vertikal
